Peer Name,IPv4,ASN,IPv6,Speed (Gbps),Internet Exchange
China Mobile International,196.60.71.28,58453,2001:43f8:6d1::71:28,100,NAPAfrica IX Cape Town
China Mobile International,196.60.8.153,58453,2001:43f8:6d0::153,100,NAPAfrica IX Johannesburg
China Mobile International,196.223.22.54,58453,2001:43f8:1f1::54,10,CINX
China Mobile International - South Africa,196.60.10.127,328787,2001:43f8:6d0::10:127,10,NAPAfrica IX Johannesburg
China Telecom,196.223.22.28,4134,2001:43f8:1f1::28,10,CINX
China Telecom,196.60.96.28,4134,2001:43f8:1f0::28,10,JINX
China Telecom,196.60.8.20,4134,2001:43f8:6d0::20,10,NAPAfrica IX Johannesburg
China Telecom,196.60.9.74,4134,2001:43f8:6d0::9:74,10,NAPAfrica IX Johannesburg
China Unicom Global,196.60.10.154,10099,2001:43f8:6d0::10:154,100,NAPAfrica IX Johannesburg
CINX Operations/Route Collector,196.223.22.102,37663,2001:43f8:1f1::102,10,CINX
CINX Operations/Route Collector,196.223.22.101,37663,2001:43f8:1f1::101,10,CINX
CINX Operations/Route Collector,196.223.22.3,37663,2001:43f8:1f1::3,10,CINX
CINX Route Servers,196.223.22.2,37701,2001:43f8:1f1::2,10,CINX
CINX Route Servers,196.223.22.1,37701,2001:43f8:1f1::1,10,CINX
CipherWave,196.60.8.165,37315,2001:43f8:6d0::165,200,NAPAfrica IX Johannesburg
CipherWave,196.60.70.27,37315,2001:43f8:6d1::27,30,NAPAfrica IX Cape Town
CipherWave,196.60.96.34,37315,2001:43f8:1f0::34,20,JINX
CipherWave,196.223.22.34,37315,2001:43f8:1f1::34,10,CINX
CipherWave,196.223.30.34,37315,2001:43f8:1f2::34,10,DINX
CipherWave,196.10.141.81,37315,2001:43f8:6d2::81,10,NAPAfrica IX Durban
CIRA-CLOUD1,196.60.10.29,55195,2001:43f8:6d0::10:29,1,NAPAfrica IX Johannesburg
CIRA-CLOUD2,196.60.71.29,394354,2001:43f8:6d1::71:29,1,NAPAfrica IX Cape Town
Cisco Umbrella,196.60.71.55,36692,2001:43f8:6d1::71:55,10,NAPAfrica IX Cape Town
Cisco Umbrella,196.60.9.55,36692,2001:43f8:6d0::9:55,10,NAPAfrica IX Johannesburg
ClearAccess,196.60.8.90,327794,,100,NAPAfrica IX Johannesburg
ClearAccess,196.223.31.49,327794,,10,DINX
ClearAccess,196.60.70.79,327794,,10,NAPAfrica IX Cape Town
ClearAccess,196.10.141.131,327794,,10,NAPAfrica IX Durban
ClearAccess,196.60.9.93,327794,,10,NAPAfrica IX Johannesburg
Clickatell (Pty) Ltd,196.60.70.19,37312,,1,NAPAfrica IX Cape Town
cloud.mu,196.60.10.57,328699,2001:43f8:6d0::10:57,10,NAPAfrica IX Johannesburg
Cloudflare,196.60.8.198,13335,2001:43f8:6d0::198,300,NAPAfrica IX Johannesburg
Cloudflare,196.60.9.75,13335,2001:43f8:6d0::9:75,300,NAPAfrica IX Johannesburg
Cloudflare,196.60.96.109,13335,2001:43f8:1f0::109,100,JINX
Cloudflare,196.60.70.198,13335,2001:43f8:6d1::198,100,NAPAfrica IX Cape Town
Cloudflare,196.10.141.198,13335,2001:43f8:6d2::198,100,NAPAfrica IX Durban
Cloudflare,196.223.22.109,13335,2001:43f8:1f1::109,20,CINX
Cloudflare,196.223.30.109,13335,2001:43f8:1f2::109,10,DINX
CloudGistics,196.60.71.81,328970,,20,NAPAfrica IX Cape Town
CloudGistics,196.60.11.60,328970,,20,NAPAfrica IX Johannesburg
CM Value Added Services,196.60.96.94,37650,,10,JINX
CM Value Added Services,196.60.97.37,37650,,10,JINX
CM Value Added Services,196.60.10.111,37650,,10,NAPAfrica IX Johannesburg
CM Value Added Services,196.60.8.218,37650,,10,NAPAfrica IX Johannesburg
CMC Networks,196.60.97.51,25818,2001:43f8:1f0::1:51,10,JINX
CMC Networks,196.60.70.191,25818,2001:43f8:6d1::191,10,NAPAfrica IX Cape Town
CMC Networks,196.10.141.191,25818,2001:43f8:6d2::191,10,NAPAfrica IX Durban
CMC Networks,196.60.8.191,25818,2001:43f8:6d0::191,10,NAPAfrica IX Johannesburg
CMC Networks,196.60.9.208,25818,2001:43f8:6d0::9:208,10,NAPAfrica IX Johannesburg
CodeBGP Monitor,196.60.9.186,50414,2001:43f8:6d0::9:186,10,NAPAfrica IX Johannesburg
CommunityDNS Ltd,196.60.96.136,42909,2001:43f8:1f0::136,10,JINX
COMPUTATE,196.223.30.191,328483,2001:43f8:1f2::191,10,DINX
COMPUTATE,196.10.141.86,328483,2001:43f8:6d2::86,10,NAPAfrica IX Durban
Comsol Networks,196.60.9.48,328114,2001:43f8:6d0::9:48,20,NAPAfrica IX Johannesburg
Comsol Networks,196.223.31.23,328114,2001:43f8:1f2::1:23,1,DINX
Comsol Networks,196.60.97.23,328114,2001:43f8:1f0::1:23,1,JINX
Comsol Networks,196.60.70.148,328114,2001:43f8:6d1::148,1,NAPAfrica IX Cape Town
Comsol Networks,196.10.141.48,328114,2001:43f8:6d2::48,1,NAPAfrica IX Durban
Comtel Communications,196.60.70.63,37333,2001:43f8:6d1::63,20,NAPAfrica IX Cape Town
Comtel Communications,196.60.9.63,37333,2001:43f8:6d0::9:63,20,NAPAfrica IX Johannesburg
Comtel Communications,196.223.22.65,37333,2001:43f8:1f1::65,10,CINX
Comtel Communications,196.60.96.65,37333,2001:43f8:1f0::65,10,JINX
Comtel Communications,196.10.141.67,37333,2001:43f8:6d2::67,10,NAPAfrica IX Durban
ComX Networks South Africa,196.60.70.166,328384,2001:43f8:6d1::166,10,NAPAfrica IX Cape Town
ComX Networks South Africa,196.60.10.27,328384,2001:43f8:6d0::10:27,10,NAPAfrica IX Johannesburg
ComX Networks South Africa,196.223.23.74,328384,2001:43f8:1f1::1:74,1,CINX
Congo Telecom,196.60.9.223,37451,2001:43f8:6d0::9:223,20,NAPAfrica IX Johannesburg
Conn3ct,196.10.141.104,198781,2001:43f8:6d2::104,10,NAPAfrica IX Durban
Conn3ct,196.60.10.205,198781,2001:43f8:6d0::10:205,10,NAPAfrica IX Johannesburg
Connected Space,196.60.70.208,328431,,10,NAPAfrica IX Cape Town
Connected Space,196.60.70.207,328431,,10,NAPAfrica IX Cape Town
Connected Space,196.60.9.243,328431,,1,NAPAfrica IX Johannesburg
Converged Telecoms,196.60.70.122,327824,2001:43f8:6d1::122,10,NAPAfrica IX Cape Town
Converged Telecoms,196.10.141.122,327824,2001:43f8:6d2::122,10,NAPAfrica IX Durban
Converged Telecoms,196.60.8.96,327824,2001:43f8:6d0::96,10,NAPAfrica IX Johannesburg
Converged Telecoms,196.60.8.122,327824,2001:43f8:6d0::122,10,NAPAfrica IX Johannesburg
Convergenze S.p.A.SB,196.60.11.12,39120,2001:43f8:6d0::11:12,1,NAPAfrica IX Johannesburg
Cool Ideas,196.60.96.83,37680,2001:43f8:1f0::83,100,JINX
Cool Ideas,196.60.97.25,37680,2001:43f8:1f0::1:25,100,JINX
Cool Ideas,196.60.70.171,37680,2001:43f8:6d1::171,100,NAPAfrica IX Cape Town
Cool Ideas,196.60.71.12,37680,2001:43f8:6d1::71:12,100,NAPAfrica IX Cape Town
Cool Ideas,196.60.8.171,37680,2001:43f8:6d0::171,100,NAPAfrica IX Johannesburg
Cool Ideas,196.60.9.53,37680,2001:43f8:6d0::9:53,100,NAPAfrica IX Johannesburg
Cool Ideas,196.223.22.83,37680,2001:43f8:1f1::83,20,CINX
Cool Ideas,196.223.30.83,37680,2001:43f8:1f2::83,10,DINX
Cool Ideas,196.10.141.171,37680,2001:43f8:6d2::171,10,NAPAfrica IX Durban
Cosmiq Broadband,196.223.31.83,329391,2001:43f8:1f2::1:83,10,DINX
Cosmiq Broadband,196.10.141.152,329391,2001:43f8:6d2::152,10,NAPAfrica IX Durban
Crazyweb Tech,196.10.141.148,328583,2001:43f8:6d2::148,10,NAPAfrica IX Durban
Crazyweb Tech,196.60.10.211,328583,2001:43f8:6d0::10:211,10,NAPAfrica IX Johannesburg
Crazyweb Tech,196.60.10.25,328583,2001:43f8:6d0::10:25,10,NAPAfrica IX Johannesburg
Crisp Fibre,196.60.71.23,328315,2001:43f8:6d1::71:23,10,NAPAfrica IX Cape Town
Crisp Fibre,196.10.141.137,328315,2001:43f8:6d2::137,10,NAPAfrica IX Durban
Crisp Fibre,196.60.9.119,328315,2001:43f8:6d0::9:119,10,NAPAfrica IX Johannesburg
CTGNet,196.60.10.214,23764,2001:43f8:6d0::10:214,100,NAPAfrica IX Johannesburg
CTGNet,196.223.22.30,23764,2001:43f8:1f1::30,30,CINX
CTGNet,196.60.96.30,23764,2001:43f8:1f0::30,30,JINX
CTGNet,196.60.71.86,23764,2001:43f8:6d1::71:86,10,NAPAfrica IX Cape Town
Currant Technologies,196.60.70.32,36898,,1,NAPAfrica IX Cape Town
Custom Solutions Business Trust,196.60.8.235,327737,,1,NAPAfrica IX Johannesburg
Cybersmart Ltd,196.60.71.68,36874,2001:43f8:6d1::71:68,100,NAPAfrica IX Cape Town
Cybersmart Ltd,196.60.8.246,36874,2001:43f8:6d0::246,100,NAPAfrica IX Johannesburg
Cybersmart Ltd,196.223.22.39,36874,2001:43f8:1f1::39,10,CINX
Cybersmart Ltd,196.223.30.39,36874,2001:43f8:1f2::39,10,DINX
Cybersmart Ltd,196.60.70.58,36874,2001:43f8:6d1::58,10,NAPAfrica IX Cape Town
Cybersmart Ltd,196.10.141.58,36874,2001:43f8:6d2::58,10,NAPAfrica IX Durban
Cybersmart Ltd,196.60.9.246,36874,2001:43f8:6d0::9:246,10,NAPAfrica IX Johannesburg
Cybersmart Ltd,196.60.96.39,36874,2001:43f8:1f0::39,1,JINX
"CZ.NIC, z.s.p.o.",196.60.97.18,25192,2001:43f8:1f0::1:18,10,JINX
"CZ.NIC, z.s.p.o.",196.60.97.19,25192,2001:43f8:1f0::1:19,10,JINX
Dalkom Somalia,196.60.10.254,327732,2001:43f8:6d0::10:254,10,NAPAfrica IX Johannesburg
Data Sciences Corporation,,329429,2001:43f8:1f0::1:93,10,JINX
DataKeepers,196.223.23.107,328170,2001:43f8:1f1::1:107,100,CINX
DataKeepers,196.60.70.211,328170,2001:43f8:6d1::211,10,NAPAfrica IX Cape Town
DataKeepers,196.60.9.218,328170,2001:43f8:6d0::9:218,10,NAPAfrica IX Johannesburg
DataKeepers,196.60.10.33,328170,2001:43f8:6d0::10:33,10,NAPAfrica IX Johannesburg
Datonet,196.60.11.26,328974,2001:43f8:6d0::11:26,10,NAPAfrica IX Johannesburg
Datonet,196.60.11.25,328974,2001:43f8:6d0::11:25,10,NAPAfrica IX Johannesburg
Datonet,196.60.97.66,328974,2001:43f8:1f0::1:66,1,JINX
Datonet,196.60.97.68,328974,2001:43f8:1f0::1:68,1,JINX
Derivco,196.10.141.16,36951,2001:43f8:6d2::16,10,NAPAfrica IX Durban
Desktop Network Solutions,196.60.8.123,327894,,1,NAPAfrica IX Johannesburg
Devinity Trading,196.60.8.57,328547,2001:43f8:6d0::57,10,NAPAfrica IX Johannesburg
DFA Zimbabwe,196.60.11.19,329006,2001:43f8:6d0::11:19,100,NAPAfrica IX Johannesburg
Dialpad,196.60.9.134,63399,2001:43f8:6d0::9:134,10,NAPAfrica IX Johannesburg
DIAMATRIX,196.60.97.40,327979,2001:43f8:1f0::1:40,10,JINX
DIAMATRIX,196.60.96.115,327979,2001:43f8:1f0::115,10,JINX
DIAMATRIX,196.60.8.45,327979,2001:43f8:6d0::45,10,NAPAfrica IX Johannesburg
DIAMATRIX,196.60.8.51,327979,2001:43f8:6d0::51,10,NAPAfrica IX Johannesburg
Dimension 5 Internet Solutions,196.60.10.75,328730,,10,NAPAfrica IX Johannesburg
DINX Operations/Route Collector,196.223.30.102,37668,2001:43f8:1f2::102,10,DINX
DINX Operations/Route Collector,196.223.30.3,37668,2001:43f8:1f2::3,10,DINX
DINX Operations/Route Collector,196.223.30.101,37668,2001:43f8:1f2::101,10,DINX
DINX Route Servers,196.223.30.1,37699,2001:43f8:1f2::1,10,DINX
DINX Route Servers,196.223.30.2,37699,2001:43f8:1f2::2,10,DINX
Direct Transact,196.60.10.117,37316,,1,NAPAfrica IX Johannesburg
DK Wireless,196.60.70.234,328351,2001:43f8:6d1::234,20,NAPAfrica IX Cape Town
DK Wireless,196.60.10.22,328351,2001:43f8:6d0::10:22,10,NAPAfrica IX Johannesburg
DK Wireless,196.223.22.212,328351,2001:43f8:1f1::212,1,CINX
DNS-OARC-112,196.223.22.4,112,2001:43f8:1f1::4,10,CINX
DNS-OARC-112,196.223.30.4,112,2001:43f8:1f2::4,10,DINX
DNS-OARC-112,196.60.96.4,112,2001:43f8:1f0::4,10,JINX
DNS-OARC-112,196.60.120.4,112,2001:43f8:690::4,10,NMBINX
Dolphin Coast Wireless Pty Ltd,196.10.141.139,329249,2001:43f8:6d2::139,10,NAPAfrica IX Durban
DSV Panalpina,196.60.9.49,49362,2001:43f8:6d0::9:49,1,NAPAfrica IX Johannesburg
DSV Panalpina,196.60.9.50,49362,2001:43f8:6d0::9:50,1,NAPAfrica IX Johannesburg
Dube TradePort,196.10.141.53,37302,2001:43f8:6d2::53,10,NAPAfrica IX Durban
Dube TradePort,196.223.31.22,37302,2001:43f8:1f2::1:22,1,DINX
Dube TradePort,196.60.9.153,37302,2001:43f8:6d0::9:153,1,NAPAfrica IX Johannesburg
Easyweb Internet,196.60.8.187,37150,2001:43f8:6d0::187,20,NAPAfrica IX Johannesburg
Easyweb Internet,196.60.96.103,37150,2001:43f8:1f0::103,10,JINX
Easyweb Internet,196.60.70.52,37150,2001:43f8:6d1::52,10,NAPAfrica IX Cape Town
Easyweb Internet,196.223.22.103,37150,2001:43f8:1f1::103,1,CINX
Echo Service Provider,196.60.9.220,327693,2001:43f8:6d0::9:220,200,NAPAfrica IX Johannesburg
Echo Service Provider,196.60.9.221,327693,2001:43f8:6d0::9:221,200,NAPAfrica IX Johannesburg
Echo Service Provider,196.223.30.219,327693,2001:43f8:1f2::219,100,DINX
Echo Service Provider,196.60.70.221,327693,2001:43f8:6d1::221,100,NAPAfrica IX Cape Town
Echo Service Provider,196.60.70.220,327693,2001:43f8:6d1::220,100,NAPAfrica IX Cape Town
Echo Service Provider,196.10.141.221,327693,2001:43f8:6d2::221,100,NAPAfrica IX Durban
Echo Service Provider,196.10.141.220,327693,2001:43f8:6d2::220,100,NAPAfrica IX Durban
ECN,196.223.30.118,36968,2001:43f8:1f2::118,10,DINX
ECN,196.60.70.54,36968,2001:43f8:6d1::54,10,NAPAfrica IX Cape Town
ECN,196.10.141.219,36968,2001:43f8:6d2::219,10,NAPAfrica IX Durban
ECN,196.60.8.219,36968,2001:43f8:6d0::c,10,NAPAfrica IX Johannesburg
ECN,196.223.22.118,36968,2001:43f8:1f1::118,1,CINX
ECN,196.60.96.118,36968,2001:43f8:1f0::118,1,JINX
Ecoband,196.60.96.182,327814,2001:43f8:1f0::182,1,JINX
Ecoband,196.60.10.200,327814,2001:43f8:6d0::10:200,1,NAPAfrica IX Johannesburg
ECOTECH Converge Pty (Ltd),196.60.8.37,327908,2001:43f8:6d0::37,10,NAPAfrica IX Johannesburg
EDELNET,196.60.11.72,328285,2001:43f8:6d0::11:72,10,NAPAfrica IX Johannesburg
EDELNET,196.223.30.233,328285,,1,DINX
EDELNET,196.10.141.55,328285,,1,NAPAfrica IX Durban
Edge Connect,196.223.22.121,32437,2001:43f8:1f1::121,10,CINX
Edge Connect,196.223.30.121,32437,2001:43f8:1f2::121,10,DINX
Edge Connect,196.223.30.221,32437,2001:43f8:1f2::221,10,DINX
Edge Connect,196.60.96.221,32437,2001:43f8:1f0::221,10,JINX
Edge Connect,196.60.96.121,32437,2001:43f8:1f0::121,10,JINX
Edge Connect,196.10.141.101,32437,2001:43f8:6d2::101,10,NAPAfrica IX Durban
Edge Connect,196.60.10.8,32437,2001:43f8:6d0::10:8,10,NAPAfrica IX Johannesburg
Edge Connect,196.60.9.101,32437,2001:43f8:6d0::2437,10,NAPAfrica IX Johannesburg
Edge Connect,196.60.70.205,32437,2001:43f8:6d1::205,1,NAPAfrica IX Cape Town
EdgeNext,196.60.10.204,139057,2001:43f8:6d0::10:204,100,NAPAfrica IX Johannesburg
EDGETECHIT CC,196.60.71.150,329144,2001:43f8:6d1::71:150,10,NAPAfrica IX Cape Town
Ekurhuleni Metropolitan Municipality,196.60.8.46,328006,,1,NAPAfrica IX Johannesburg
Emalangeni Technologies,196.60.10.68,328656,2001:43f8:6d0::10:68,1,NAPAfrica IX Johannesburg
Emid (Pty) LTD,196.60.97.72,37055,2001:43f8:1f0::1:72,10,JINX
Emid (Pty) LTD,196.60.8.75,37055,,10,NAPAfrica IX Johannesburg
Emid (Pty) LTD,196.60.71.124,37055,,1,NAPAfrica IX Cape Town
Emtel,196.60.10.53,30999,2001:43f8:6d0::10:53,30,NAPAfrica IX Johannesburg
Emtel,196.223.30.148,30999,2001:43f8:1f2::148,10,DINX
Emtel,196.60.96.148,30999,2001:43f8:1f0::148,10,JINX
Emtel,196.10.141.51,30999,2001:43f8:6d2::51,10,NAPAfrica IX Durban
enablingsolutions,196.60.9.7,328498,,1,NAPAfrica IX Johannesburg
eNetworks,196.223.22.37,32653,2001:43f8:1f1::37,10,CINX
eNetworks,196.60.96.37,32653,2001:43f8:1f0::37,10,JINX
eNetworks,196.60.70.139,32653,2001:43f8:6d1::139,10,NAPAfrica IX Cape Town
eNetworks,196.60.70.239,32653,2001:43f8:6d1::239,10,NAPAfrica IX Cape Town
eNetworks,196.10.141.127,32653,2001:43f8:6d2::127,10,NAPAfrica IX Durban
eNetworks,196.60.9.139,32653,2001:43f8:6d0::9:139,10,NAPAfrica IX Johannesburg
eNetworks,196.60.8.139,32653,2001:43f8:6d0::139,10,NAPAfrica IX Johannesburg
eNetworks,196.223.30.37,32653,2001:43f8:1f2::37,1,DINX
Enterprise Outsourcing Operations,196.60.10.132,328523,2001:43f8:6d0::10:132,1,NAPAfrica IX Johannesburg
Envisage_Cloud_Solutions,196.223.23.176,213481,2001:43f8:1f1::1:176,10,CINX
Envisage_Cloud_Solutions,196.223.23.175,213481,2001:43f8:1f1::1:175,10,CINX
Envisage_Cloud_Solutions,196.60.70.11,213481,2001:43f8:6d1::11,10,NAPAfrica IX Cape Town
Envisage_Cloud_Solutions,196.60.70.135,213481,2001:43f8:6d1::135,10,NAPAfrica IX Cape Town
Envisage_Cloud_Solutions,196.60.11.54,213481,2001:43f8:6d0::11:54,10,NAPAfrica IX Johannesburg
Epsilon,196.60.70.99,44356,2001:43f8:6d1::99,10,NAPAfrica IX Cape Town
Epsilon,196.60.8.2,44356,2001:43f8:6d0::8:2,10,NAPAfrica IX Johannesburg
Equationnet,196.60.70.225,37627,,1,NAPAfrica IX Cape Town
Equationnet,196.60.8.143,37627,,1,NAPAfrica IX Johannesburg
Ethekwini Municipality,196.223.30.238,37016,2001:43f8:1f2::238,10,DINX
Ethekwini Municipality,196.10.141.87,37016,2001:43f8:6d2::87,1,NAPAfrica IX Durban
Euphoria Telecom (PTY) LTD,196.60.10.198,329291,2001:43f8:6d0::10:198,2,NAPAfrica IX Johannesburg
Expereo International bv,196.60.9.123,15695,2001:43f8:6d0::9:123,10,NAPAfrica IX Johannesburg
Faircape Communications,196.60.70.31,37363,2001:43f8:6d1::31,10,NAPAfrica IX Cape Town
Faircape Communications,196.60.71.49,37363,2001:43f8:6d1::71:49,10,NAPAfrica IX Cape Town
Faircape Communications,196.60.8.108,37363,2001:43f8:6d0::108,10,NAPAfrica IX Johannesburg
Faircape Communications,196.60.10.160,37363,2001:43f8:6d0::10:160,10,NAPAfrica IX Johannesburg
"Fastly, Inc.",196.223.22.15,54113,2001:43f8:1f1::15,100,CINX
"Fastly, Inc.",196.60.96.15,54113,2001:43f8:1f0::15,100,JINX
"Fastly, Inc.",196.60.70.213,54113,2001:43f8:6d1::213,100,NAPAfrica IX Cape Town
"Fastly, Inc.",196.60.70.103,54113,2001:43f8:6d1::103,100,NAPAfrica IX Cape Town
"Fastly, Inc.",196.60.8.13,54113,2001:43f8:6d0::8:13,100,NAPAfrica IX Johannesburg
"Fastly, Inc.",196.60.9.103,54113,2001:43f8:6d0::9:103,100,NAPAfrica IX Johannesburg
FDCServers.Net,196.60.11.9,30058,2001:43f8:6d0::11:9,10,NAPAfrica IX Johannesburg
FFG Connection,196.60.9.191,328422,2001:43f8:6d0::9:191,10,NAPAfrica IX Johannesburg
FiberFly,196.60.97.90,329122,2001:43f8:1f0::1:90,10,JINX
FiberFly,196.60.10.253,329122,,10,NAPAfrica IX Johannesburg
fibertime™,196.60.96.247,329126,2001:43f8:1f0::247,100,JINX
fibertime™,196.60.71.111,329126,2001:43f8:6d1::71:111,100,NAPAfrica IX Cape Town
fibertime™,196.60.9.187,329126,2001:43f8:6d0::9:187,100,NAPAfrica IX Johannesburg
fibertime™,196.60.10.248,329126,2001:43f8:6d0::10:248,25,NAPAfrica IX Johannesburg
Fibre Geeks,196.60.71.16,328735,2001:43f8:6d1::71:16,10,NAPAfrica IX Cape Town
Fibre Geeks,196.60.10.234,328735,2001:43f8:6d0::10:234,10,NAPAfrica IX Johannesburg
Fibre Geeks,196.223.23.47,328735,2001:43f8:1f1::1:47,1,CINX
Fibrestream ZA,196.60.8.67,327984,,10,NAPAfrica IX Johannesburg
Fire-IT,196.60.70.168,329510,2001:43f8:6d1::168,10,NAPAfrica IX Cape Town
Fire-IT,196.60.9.213,329510,2001:43f8:6d0::9:213,10,NAPAfrica IX Johannesburg
Fire-IT,196.60.97.165,329510,2001:43f8:1f0::1:165,1,JINX
Firestream (Pty) Ltd,196.60.9.67,328216,,10,NAPAfrica IX Johannesburg
Firmlinx,196.60.10.196,328946,,10,NAPAfrica IX Johannesburg
First in Business Solutions,196.60.96.232,37411,2001:43f8:1f0::232,1,JINX
FirstNet,196.223.22.93,328366,2001:43f8:1f1::93,10,CINX
FirstNet,196.223.30.93,328366,2001:43f8:1f2::93,10,DINX
FirstNet,196.60.70.75,328366,2001:43f8:6d1::75,10,NAPAfrica IX Cape Town
FirstNet,196.10.141.250,328366,2001:43f8:6d2::250,10,NAPAfrica IX Durban
FirstNet,196.60.8.250,328366,2001:43f8:6d0::250,10,NAPAfrica IX Johannesburg
FirstNet,196.60.9.250,328366,2001:43f8:6d0::9:250,10,NAPAfrica IX Johannesburg
FirstNet,196.60.96.93,328366,2001:43f8:1f0::93,1,JINX
Fixed Mobile Telecommunications,196.60.9.98,328333,2001:43f8:6d0::9:98,20,NAPAfrica IX Johannesburg
Fixed Mobile Telecommunications,196.60.9.99,328333,2001:43f8:6d0::9:99,20,NAPAfrica IX Johannesburg
Fixed Mobile Telecommunications,196.60.70.152,328333,2001:43f8:6d1::152,10,NAPAfrica IX Cape Town
Fixed Mobile Telecommunications,196.60.70.153,328333,2001:43f8:6d1::153,10,NAPAfrica IX Cape Town
Fixed Mobile Telecommunications,196.10.141.116,328333,2001:43f8:6d2::116,10,NAPAfrica IX Durban
Flex Serve IT,196.60.10.243,329063,2001:43f8:6d0::10:243,10,NAPAfrica IX Johannesburg
Flex Serve IT,196.60.11.10,329063,2001:43f8:6d0::11:10,10,NAPAfrica IX Johannesburg
Flex Serve IT,196.60.97.124,329063,2001:43f8:1f0::1:124,1,JINX
Flex Serve IT,196.60.97.24,329063,2001:43f8:1f0::1:24,1,JINX
FNB Connect,196.60.71.24,37028,,10,NAPAfrica IX Cape Town
FNB Connect,196.60.8.173,37028,,10,NAPAfrica IX Johannesburg
FNB Connect,196.60.8.174,37028,,10,NAPAfrica IX Johannesburg
Fontel South Africa,196.60.8.130,328518,,10,NAPAfrica IX Johannesburg
Forbtech,196.60.9.44,328125,,1,NAPAfrica IX Johannesburg
Forcepoint Cloud,196.60.8.150,44444,2001:43f8:6d0::150,10,NAPAfrica IX Johannesburg
Forcepoint Cloud,196.60.96.78,44444,2001:43f8:1f0::78,1,JINX
Fortinet,196.60.11.77,40934,2001:43f8:6d0::11:77,10,NAPAfrica IX Johannesburg
Foschini Retail Group,196.60.71.85,328246,,10,NAPAfrica IX Cape Town
Foschini Retail Group,196.60.10.209,328246,,10,NAPAfrica IX Johannesburg
Free Reunion,196.60.10.151,327697,2001:43f8:6d0::10:151,10,NAPAfrica IX Johannesburg
Frogfoot Networks,196.60.71.83,22355,2001:43f8:6d1::71:83,10,NAPAfrica IX Cape Town
Frogfoot Networks,196.60.70.9,22355,2001:43f8:6d1::9,10,NAPAfrica IX Cape Town
Frogfoot Networks,196.10.141.71,22355,2001:43f8:6d2::71,10,NAPAfrica IX Durban
Frogfoot Networks,196.10.141.93,22355,2001:43f8:6d2::93,10,NAPAfrica IX Durban
Frogfoot Networks,196.60.8.110,22355,2001:43f8:6d0::110,10,NAPAfrica IX Johannesburg
Frogfoot Networks,196.60.8.138,22355,2001:43f8:6d0::138,10,NAPAfrica IX Johannesburg
Fulloutput 1086,196.60.70.65,327772,,10,NAPAfrica IX Cape Town
Fulloutput 1086,196.60.10.41,327772,,10,NAPAfrica IX Johannesburg
Gardale Solutions,196.60.71.58,328020,,10,NAPAfrica IX Cape Town
Gardale Solutions,196.60.70.95,328020,,1,NAPAfrica IX Cape Town
Garnaal Beleggings,196.60.10.109,328761,,10,NAPAfrica IX Johannesburg
Gcore,196.60.71.116,199524,2001:43f8:6d1::71:116,100,NAPAfrica IX Cape Town
Gcore,196.60.9.188,199524,2001:43f8:6d0::9:188,100,NAPAfrica IX Johannesburg
Gcore,196.60.9.192,199524,2001:43f8:6d0::9:192,100,NAPAfrica IX Johannesburg
Gcore,196.60.96.150,199524,2001:43f8:1f0::150,1,JINX
Gestor de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial,196.60.71.151,37529,2001:43f8:6d1::71:151,10,NAPAfrica IX Cape Town
Gigawave Solutions,196.60.71.146,328785,,10,NAPAfrica IX Cape Town
Gigawave Solutions,196.60.9.80,328785,,10,NAPAfrica IX Johannesburg
Gigazone Networks,196.223.30.122,328024,2001:43f8:1f2::122,10,DINX
Gigazone Networks,196.223.30.243,328024,2001:43f8:1f2::243,10,DINX
Gigazone Networks,196.60.96.122,328024,2001:43f8:1f0::122,10,JINX
Gigazone Networks,196.60.8.26,328024,2001:43f8:6d0::26,10,NAPAfrica IX Johannesburg
Gigazone Networks,196.10.141.26,328024,2001:43f8:6d2::26,1,NAPAfrica IX Durban
Gigs Broadband ASN37491,196.60.10.47,37491,,10,NAPAfrica IX Johannesburg
Gigs Broadband ASN37491,196.60.71.62,37491,,1,NAPAfrica IX Cape Town
Gigs Broadband ASN37491,196.60.10.247,37491,,1,NAPAfrica IX Johannesburg
Gijima Holdings,196.60.96.204,37438,,10,JINX
GLOBAL CLOUD INFRASTRUCTURE SOLUTIONS (PTY) LTD,196.60.97.127,329305,2001:43f8:1f0::1:127,10,JINX
GLOBAL CLOUD INFRASTRUCTURE SOLUTIONS (PTY) LTD,196.60.97.117,329305,2001:43f8:1f0::1:117,10,JINX
GLOBAL CLOUD INFRASTRUCTURE SOLUTIONS (PTY) LTD,196.60.11.86,329305,2001:43f8:6d0::11:86,10,NAPAfrica IX Johannesburg
GLOBAL CLOUD INFRASTRUCTURE SOLUTIONS (PTY) LTD,196.60.11.58,329305,2001:43f8:6d0::11:58,10,NAPAfrica IX Johannesburg
GLOBAL CLOUD INFRASTRUCTURE SOLUTIONS (PTY) LTD,196.60.11.57,329305,2001:43f8:6d0::11:57,10,NAPAfrica IX Johannesburg
Global Layer - South Africa,196.60.97.69,215300,2001:43f8:1f0::1:69,100,JINX
Global Layer - South Africa,196.60.8.233,215300,2001:43f8:6d0::233,100,NAPAfrica IX Johannesburg
Global Micro Solutions,196.60.8.239,36985,2001:43f8:6d0::239,20,NAPAfrica IX Johannesburg
